plntname,centralwavelng,bandwidth,especlipdep,espbritemp,plntreflink,facility,instrument
WASP-80 b,3.6,,0.455,901,<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
WASP-80 b,4.5,,0.944,888,<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
HAT-P-13 b,3.6,,0.0662,,<a refstr=BUHLER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...26B/abstract target=ref>Buhler et al. 2016</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
HAT-P-13 b,4.5,,0.1426,,<a refstr=BUHLER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...26B/abstract target=ref>Buhler et al. 2016</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
XO-3 b,4.5,,0.158,,<a refstr=WONG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...794..134W/abstract target=ref>Wong et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
WASP-12 b,1.125,0.05,0.119,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.175,0.05,0.128,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.225,0.05,0.101,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.275,0.05,0.142,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.325,0.05,0.154,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.375,0.05,0.156,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.425,0.05,0.184,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.475,0.05,0.198,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.525,0.05,0.196,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.575,0.05,0.179,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,1.625,0.05,0.192,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-12 b,3.6,,0.421,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
WASP-12 b,4.5,,0.428,,<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
